timestamp,activity,fall_detected
2026-06-19 22:01:51.325603,Standing,No
2026-06-19 22:01:56.176063,Sitting,No
2026-06-19 22:01:56.200144,Standing,No
2026-06-19 22:01:56.396941,Sitting,No
2026-06-19 22:01:56.433647,Walking,No
2026-06-19 22:01:56.461519,Standing,No
2026-06-19 22:01:56.533552,Sitting,No
2026-06-19 22:01:56.597914,Standing,No
2026-06-19 22:01:57.182796,Sitting,No
2026-06-19 22:01:57.279082,Standing,No
2026-06-19 22:01:57.347058,Sitting,No
2026-06-19 22:01:57.421008,Standing,No
2026-06-19 22:01:57.451396,Sitting,No
2026-06-19 22:01:57.945727,Walking,No
2026-06-19 22:01:57.979505,Standing,No
2026-06-19 22:01:58.053251,Sitting,No
2026-06-19 22:01:58.083868,Standing,No
2026-06-19 22:01:58.439226,Sitting,No
2026-06-19 22:01:58.477534,Standing,No
2026-06-19 22:01:59.693667,Walking,No
2026-06-19 22:01:59.733755,Standing,No
2026-06-19 22:01:59.833523,Sitting,No
2026-06-19 22:02:00.260637,Standing,No
